mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_line	crescendo_hairpin	decrescendo_hairpin
95	95	188	188	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	797										12			
95	95	188	188	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	798									216	13			
95	95	188	188	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	799									216	13			
95	95	188	188	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	800										15			
96	96	190	190	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	801										12			
96	96	190	190	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	802									217	13			
96	96	190	190	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	803									217	13			
96	96	383/2	383/2	0.0	3/8	3/8	Dynamic	2/4	3	1	0						p												
96	96	383/2	383/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	804													
96	96	190	190	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	805										15			
97	97	192	192	0.0	0	0	Dynamic	2/4	1	1	0						p												
97	97	192	192	0.0	0	0	Spanner	2/4	1	1	0																		
97	97	192	192	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	806									218				
97	97	192	192	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	807									218				
97	97	192	192	0.0	0	0	Spanner	2/4	2	1	0																		
97	97	192	192	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	808									219				
97	97	385/2	385/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4			1/4	1	809													
97	97	387/2	387/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	810													
97	97	192	192	0.0	0	0	Spanner	2/4	4	1	0																		
98	98	194	194	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	811									218				
98	98	194	194	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	812									218				
98	98	194	194	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	813									220				
98	98	389/2	389/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4			1/4	1	814													
98	98	391/2	391/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	815													
99	99	196	196	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	816									221				
99	99	196	196	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	817									221				
99	99	196	196	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	818									222				
99	99	393/2	393/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4			1/4	1	819													
99	99	395/2	395/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	820													
100	100	198	198	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	821									221				
100	100	198	198	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	822									221				
100	100	198	198	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	823									223				
100	100	199	199	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	824													
101	101	200	200	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	825									224				
101	101	401/2	401/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	826													
101	101	403/2	403/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	827													
101	101	200	200	0.0	0	0	Dynamic	2/4	2	1	0						p												
101	101	200	200	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	828									225				
101	101	401/2	401/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	829													
101	101	403/2	403/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	830													
101	101	200	200	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	831									226				
101	101	200	200	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	832									226				
102	102	202	202	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	833									227				
102	102	405/2	405/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	834													
102	102	407/2	407/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	835													
102	102	202	202	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	836									228				
102	102	405/2	405/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	837													
102	102	407/2	407/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	838													
102	102	202	202	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	839									226				
102	102	202	202	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	840									226				
103	103	204	204	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	841									229				
103	103	409/2	409/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	842													
103	103	411/2	411/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	843													
103	103	204	204	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	844									230				
103	103	409/2	409/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	845													
103	103	411/2	411/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	846													
103	103	204	204	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	847									231				
103	103	204	204	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	848									231				
104	104	206	206	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	849									232				
104	104	207	207	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	850													
104	104	206	206	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	851													
104	104	206	206	1.5	0	0	Chord	2/4	3	1	3/8			1/4	3/2	852									233				
104	104	415/2	415/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	853													
104	104	415/2	415/2	0.0	3/8	3/8	Dynamic	2/4	4	1	0						p												
104	104	415/2	415/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	854													
105	105	208	208	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	855									234				
105	105	209	209	0.0	1/4	1/4	Spanner	2/4	1	1	0														234		32		
105	105	208	208	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	856									234		32		
105	105	419/2	419/2	0.0	3/8	3/8	Spanner	2/4	1	1	0														234				
105	105	208	208	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	857									235				
105	105	209	209	0.0	1/4	1/4	Spanner	2/4	2	1	0														235		33		
105	105	208	208	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	858									235		33		
105	105	208	208	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	859									236				
105	105	417/2	417/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4			1/4	1	860													
105	105	419/2	419/2	0.0	3/8	3/8	Spanner	2/4	3	1	0																34		
105	105	419/2	419/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	861											34		
105	105	208	208	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	862									237				
105	105	417/2	417/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4			1/4	1	863													
105	105	419/2	419/2	0.0	3/8	3/8	Spanner	2/4	4	1	0																35		
105	105	419/2	419/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	864											35		
106	106	210	210	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	865									234				
106	106	210	210	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	866									234				
106	106	210	210	0.0	0	0	Spanner	2/4	2	1	0														235				
106	106	210	210	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	867									235				
106	106	210	210	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	868									235				
106	106	210	210	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	869									238		34		
106	106	421/2	421/2	0.0	1/8	1/8	Spanner	2/4	3	1	0																		
106	106	421/2	421/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4			1/4	1	870													
106	106	423/2	423/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	871													
106	106	210	210	0.0	0	0	Spanner	2/4	4	1	0																		
106	106	210	210	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	872									239				
106	106	421/2	421/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4			1/4	1	873													
106	106	423/2	423/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	874													
107	107	212	212	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	875									240				
107	107	212	212	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	876									240				
107	107	212	212	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	877									241				
107	107	212	212	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	878									241				
107	107	212	212	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	879									242				
107	107	425/2	425/2	1.0	1/8	1/8	Chord	2/4	3	1	1/4			1/4	1	880													
107	107	427/2	427/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	881													
107	107	212	212	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	882									243				
107	107	425/2	425/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4			1/4	1	883													
107	107	427/2	427/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	884													
108	108	214	214	2.0	0	0	Chord	2/4	1	1	1/2		c16	1/2	1	885									240				
108	108	214	214	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	886									240				
108	108	216	216	0.0	1/2	1/2	Spanner	2/4	1	1	0															16			
108	108	214	214	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	887									241				
108	108	214	214	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	888									241				
108	108	216	216	0.0	1/2	1/2	Spanner	2/4	2	1	0															17			
108	108	214	214	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	889									244				
108	108	215	215	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	890													
108	108	216	216	0.0	1/2	1/2	Spanner	2/4	3	1	0															18			
108	108	214	214	1.0	0	0	Chord	2/4	4	1	1/4			1/4	1	891									245				
108	108	215	215	1.0	1/4	1/4	Chord	2/4	4	1	1/4			1/4	1	892													
108	108	216	216	0.0	1/2	1/2	Spanner	2/4	4	1	0															19			
109	109	216	216	0.0	0	0	Spanner	2/4	1	1	0															16, 20			
109	109	216	216	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	893									246	16, 20			
109	109	433/2	433/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	894										16, 20			
109	109	435/2	435/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	895										16, 20			
109	109	216	216	0.0	0	0	Spanner	2/4	2	1	0															17, 21			
109	109	216	216	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	896									247	17, 21			
109	109	433/2	433/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	897										17, 21			
109	109	435/2	435/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	898										17, 21			
109	109	216	216	0.0	0	0	Spanner	2/4	3	1	0															18, 22			
109	109	216	216	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	899									248	18, 22			
109	109	216	216	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	900									248	18, 22			
109	109	216	216	0.0	0	0	Spanner	2/4	4	1	0															19, 23			
109	109	216	216	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	901										19, 23			
110	110	218	218	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	902									249	16, 20			
110	110	437/2	437/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	903										16, 20			
110	110	439/2	439/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	904										16, 20			
110	110	218	218	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	905									250	17, 21			
110	110	437/2	437/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	906										17, 21			
110	110	439/2	439/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	907										17, 21			
110	110	218	218	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	908									248	18, 22			
110	110	218	218	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	909									248	18, 22			
110	110	218	218	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	910										19, 23			
111	111	220	220	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	911									251	16, 20			
111	111	441/2	441/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	912										16, 20			
111	111	443/2	443/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	913										16, 20			
111	111	220	220	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	914									252	17, 21			
111	111	441/2	441/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	915										17, 21			
111	111	443/2	443/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	916										17, 21			
111	111	220	220	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	917									253	18, 22			
111	111	220	220	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	918									253	18, 22			
111	111	220	220	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	919										19, 23			
112	112	222	222	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	920									254	16, 20			
112	112	223	223	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	921										16, 20			
112	112	222	222	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	922										17, 21			
112	112	222	222	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	923									255	18, 22			
112	112	223	223	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	924										18, 22			
112	112	222	222	1.0	0	0	Chord	2/4	4	1	1/4			1/4	1	925										19, 23			
113	113	224	224	0.0	0	0	Spanner	2/4	1	1	0															16, 20, 24			
113	113	224	224	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	926									256	16, 20, 24			
113	113	449/2	449/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	927										16, 20, 24			
113	113	451/2	451/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	928										16, 20, 24			
113	113	224	224	0.0	0	0	Spanner	2/4	2	1	0															17, 21, 25			
113	113	224	224	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	929									257	17, 21, 25			
113	113	449/2	449/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	930										17, 21, 25			
113	113	451/2	451/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	931										17, 21, 25			
113	113	224	224	0.0	0	0	Spanner	2/4	3	1	0															18, 22, 26			
113	113	224	224	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	932									258	18, 22, 26			
113	113	224	224	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	933									258	18, 22, 26			
113	113	224	224	0.0	0	0	Spanner	2/4	4	1	0															19, 23, 27			
113	113	224	224	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	934										19, 23, 27			
114	114	226	226	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	935									259	16, 20, 24			
114	114	227	227	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	936										16, 20, 24			
114	114	226	226	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	937										17, 21, 25			
114	114	226	226	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	938									258	18, 22, 26			
114	114	227	227	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	939										18, 22, 26			
114	114	226	226	1.0	0	0	Chord	2/4	4	1	1/4			1/4	1	940										19, 23, 27			
115	115	228	228	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	941									260	16, 20, 24			
115	115	457/2	457/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	942										16, 20, 24			
115	115	459/2	459/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	943										16, 20, 24			
115	115	228	228	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	944									261	17, 21, 25			
115	115	457/2	457/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	945										17, 21, 25			
115	115	459/2	459/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	946										17, 21, 25			
115	115	228	228	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	947										18, 22, 26			
115	115	228	228	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	948										19, 23, 27			
116	116	230	230	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	949									262	16, 20, 24			
116	116	461/2	461/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	950										16, 20, 24			
116	116	463/2	463/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	951										16, 20, 24			
116	116	230	230	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	952									263	17, 21, 25			
116	116	461/2	461/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	953										17, 21, 25			
116	116	463/2	463/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	954										17, 21, 25			
116	116	230	230	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	955										18, 22, 26			
116	116	230	230	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	956										19, 23, 27			
117	117	232	232	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	957									264	16, 20, 24			
117	117	232	232	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	958										17, 21, 25			
117	117	232	232	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	959									265	18, 22, 26			
117	117	232	232	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	960									265	18, 22, 26			
117	117	232	232	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	961										19, 23, 27			
118	118	234	234	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	962										16, 20, 24			
118	118	234	234	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	963									266	17, 21, 25			
118	118	234	234	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	964									266	17, 21, 25			
118	118	234	234	0.0	0	0	Dynamic	2/4	4	1	0						pp												
118	118	234	234	0.0	0	0	Spanner	2/4	4	1	0																		
118	118	234	234	0.0	0	0	Spanner	2/4	4	1	0																		
119	119	236	236	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	965									267	16, 20, 24			
119	119	236	236	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	966									268	18, 22, 26			
119	119	236	236	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	967									268	18, 22, 26			
120	120	238	238	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	968										16, 20, 24			
120	120	238	238	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	969									269	17, 21, 25			
120	120	238	238	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	970									269	17, 21, 25			
120	120	238	238	0.0	0	0	Dynamic	2/4	3	1	0						pp												
120	120	238	238	0.0	0	0	Spanner	2/4	3	1	0																		
120	120	238	238	0.0	0	0	Spanner	2/4	3	1	0																		
121	121	241	241	0.0	1/4	1/4	Dynamic	2/4	1	1	0						pp												
121	121	241	241	0.0	1/4	1/4	Spanner	2/4	1	1	0																		
121	121	241	241	0.0	1/4	1/4	Spanner	2/4	1	1	0																		
121	121	241	241	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	971									270				
121	121	965/4	965/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	972									270				
121	121	483/2	483/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	973									270				
121	121	967/4	967/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	974													
121	121	240	240	0.0	0	0	Dynamic	2/4	2	1	0						pp												
121	121	240	240	0.0	0	0	Spanner	2/4	2	1	0																		
121	121	240	240	0.0	0	0	Spanner	2/4	2	1	0																		
121	121	240	240	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	975									271				
121	121	961/4	961/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	976									271				
121	121	481/2	481/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	977									271				
121	121	963/4	963/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	978													
122	122	243	243	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	979									272				
122	122	973/4	973/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	980									272				
122	122	487/2	487/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	981									272				
122	122	975/4	975/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	982													
122	122	242	242	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	983									273				
122	122	969/4	969/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	984									273				
122	122	485/2	485/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	985									273				
122	122	971/4	971/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	986													
123	123	245	245	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	987									274				
123	123	981/4	981/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	988									274				
123	123	491/2	491/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	989									274				
123	123	983/4	983/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	990													
123	123	244	244	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	991									275				
123	123	977/4	977/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	992									275				
123	123	489/2	489/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	993									275				
123	123	979/4	979/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	994													
124	124	247	247	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	995									276				
124	124	989/4	989/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	996									276				
124	124	495/2	495/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	997									276				
124	124	991/4	991/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	998													
124	124	246	246	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	999									277				
124	124	985/4	985/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	1000									277				
124	124	493/2	493/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	1001									277				
124	124	987/4	987/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	1002													
125	125	248	248	0.0	0	0	Dynamic	2/4	1	1	0						ff												
125	125	248	248	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	1003													
125	125	248	248	0.0	0	0	Dynamic	2/4	2	1	0						ff												
125	125	248	248	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	1004													
125	125	248	248	0.0	0	0	Dynamic	2/4	3	1	0						ff												
125	125	248	248	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	1005									278				
125	125	993/4	993/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	1006									278				
125	125	497/2	497/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	1007									278				
125	125	995/4	995/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	1008									278				
125	125	249	249	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	1009									278				
125	125	997/4	997/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	1010									278				
125	125	499/2	499/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	1011									278				
125	125	999/4	999/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	1012									278				
125	125	248	248	0.0	0	0	Dynamic	2/4	4	1	0						ff												
125	125	248	248	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	1013													
125	125	499/2	499/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	1014													
126	126	250	250	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	1015													
126	126	250	250	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	1016													
126	126	250	250	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	1017													
126	126	250	250	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	1018									279				
126	126	501/2	501/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4			1/4	1	1019													
126	126	503/2	503/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	1020													
127	127	252	252	2.0	0	0	Chord	2/4	1	1	1/2			1/2	1	1021													
127	127	252	252	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	1022													
127	127	252	252	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	1023									280				
127	127	1009/4	1009/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	1024									280				
127	127	505/2	505/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	1025									280				
127	127	1011/4	1011/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	1026									280				
127	127	253	253	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	1027									280				
127	127	1013/4	1013/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	1028									280				
127	127	507/2	507/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	1029									280				
127	127	1015/4	1015/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	1030									280				
127	127	252	252	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	1031													
127	127	507/2	507/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	1032													
128	128	254	254	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	1033													
128	128	254	254	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	1034													
128	128	254	254	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	1035													
128	128	254	254	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	1036									281				
128	128	509/2	509/2	1.0	1/8	1/8	Chord	2/4	4	1	1/4			1/4	1	1037													
128	128	511/2	511/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	1038													
129	129	256	256	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	1039													
129	129	256	256	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	1040													
129	129	256	256	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	1041									282				
129	129	1025/4	1025/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	1042									282				
129	129	513/2	513/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16			1/16	1	1043									282				
129	129	1027/4	1027/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	1044									282				
129	129	257	257	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	1045													
129	129	256	256	1.0	0	0	Chord	2/4	4	1	1/4			1/4	1	1046													
129	129	257	257	0.25	1/4	1/4	Chord	2/4	4	1	1/16			1/16	1	1047									283				
129	129	1029/4	1029/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16			1/16	1	1048									283				
129	129	515/2	515/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	1049									283				
