mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin	TextLine	TextLine_accelerando poco a poco
3	3	8	8	0.0	0	0	Spanner	2/2	3	1	0																			
3	3	8	8	2.0	0	0	Chord	2/2	3	1	1/2	r16	1/2	1	39															
3	3	10	10	0.5	1/2	1/2	Chord	2/2	3	1	1/8	r8	1/8	1	40															
3	3	21/2	21/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8	r8	1/8	1	41															
3	3	11	11	0.0	3/4	3/4	Spanner	2/2	3	1	0														6					
3	3	11	11	0.5	3/4	3/4	Chord	2/2	3	1	1/8	r8	1/8	1	42										6					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8	r8	1/8	1	43										6					
3	3	8	8	0.0	0	0	Spanner	2/2	4	1	0																			
3	3	8	8	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	44															
3	3	10	10	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	45															
3	3	11	11	0.0	3/4	3/4	Spanner	2/2	4	1	0														7					
4	4	12	12	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	46										4					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	47										4					
4	4	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	48										4					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	49										4					
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	1	1	0																			
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	1	1	0																	4		
4	4	14	14	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	50													4		
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	51													4		
4	4	15	15	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	52													4		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	53													4		
4	4	12	12	0.5	0	0	Chord	2/2	2	1	1/8	r8	1/8	1	54										5					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	r8	1/8	1	55										5					
4	4	13	13	0.5	1/4	1/4	Chord	2/2	2	1	1/8	r8	1/8	1	56										5					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	r8	1/8	1	57										5					
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	2	1	0																			
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	2	1	0																	5		
4	4	14	14	0.5	1/2	1/2	Chord	2/2	2	1	1/8	r8	1/8	1	58													5		
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	r8	1/8	1	59													5		
4	4	15	15	0.5	3/4	3/4	Chord	2/2	2	1	1/8	r8	1/8	1	60													5		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	r8	1/8	1	61													5		
4	4	12	12	0.5	0	0	Chord	2/2	3	1	1/8	r8	1/8	1	62										6					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8	r8	1/8	1	63										6					
4	4	13	13	0.5	1/4	1/4	Chord	2/2	3	1	1/8	r8	1/8	1	64										6					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8	r8	1/8	1	65										6					
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	3	1	0																			
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	3	1	0																	6		
4	4	14	14	0.5	1/2	1/2	Chord	2/2	3	1	1/8	r8	1/8	1	66													6		
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8	r8	1/8	1	67													6		
4	4	15	15	0.5	3/4	3/4	Chord	2/2	3	1	1/8	r8	1/8	1	68													6		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8	r8	1/8	1	69													6		
4	4	12	12	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	70										7					
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	4	1	0																			
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	4	1	0																	7		
4	4	14	14	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	71													7		
5	5	16	16	0.0	0	0	Spanner	2/2	1	1	0																			
5	5	16	16	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	72															
5	5	33/2	33/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	73															
5	5	17	17	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	74															
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	75															
5	5	18	18	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	76															
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	77															
5	5	19	19	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	78															
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	79															
5	5	16	16	0.0	0	0	Spanner	2/2	2	1	0																			
5	5	16	16	0.5	0	0	Chord	2/2	2	1	1/8	r8	1/8	1	80															
5	5	33/2	33/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	r8	1/8	1	81															
5	5	17	17	0.5	1/4	1/4	Chord	2/2	2	1	1/8	r8	1/8	1	82															
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	r8	1/8	1	83															
5	5	18	18	0.5	1/2	1/2	Chord	2/2	2	1	1/8	r8	1/8	1	84															
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	r8	1/8	1	85															
5	5	19	19	0.5	3/4	3/4	Chord	2/2	2	1	1/8	r8	1/8	1	86															
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	r8	1/8	1	87															
5	5	16	16	0.0	0	0	Spanner	2/2	3	1	0																			
5	5	16	16	0.5	0	0	Chord	2/2	3	1	1/8	r8	1/8	1	88															
5	5	33/2	33/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8	r8	1/8	1	89															
5	5	17	17	0.5	1/4	1/4	Chord	2/2	3	1	1/8	r8	1/8	1	90															
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8	r8	1/8	1	91															
5	5	18	18	0.5	1/2	1/2	Chord	2/2	3	1	1/8	r8	1/8	1	92															
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8	r8	1/8	1	93															
5	5	19	19	0.5	3/4	3/4	Chord	2/2	3	1	1/8	r8	1/8	1	94															
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8	r8	1/8	1	95															
5	5	16	16	0.0	0	0	Spanner	2/2	4	1	0																			
5	5	16	16	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	96															
5	5	18	18	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	97															
6	6	20	20	0.0	0	0	Dynamic	2/2	1	1	0					sf														
6	6	20	20	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	98															
6	6	41/2	41/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	99															
6	6	21	21	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	100															
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	101															
6	6	22	22	0.0	1/2	1/2	Spanner	2/2	1	1	0																0			
6	6	22	22	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	102												0			
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	103												0			
6	6	23	23	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	104												0			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	105												0			
6	6	20	20	0.0	0	0	Dynamic	2/2	2	1	0					sf														
6	6	20	20	2.0	0	0	Chord	2/2	2	1	1/2	r16	1/2	1	106															
6	6	22	22	0.0	1/2	1/2	Spanner	2/2	2	1	0																1			
6	6	22	22	0.5	1/2	1/2	Chord	2/2	2	1	1/8	r8	1/8	1	107												1			
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	r8	1/8	1	108												1			
6	6	23	23	0.5	3/4	3/4	Chord	2/2	2	1	1/8	r8	1/8	1	109												1			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	r8	1/8	1	110												1			
6	6	20	20	0.0	0	0	Dynamic	2/2	3	1	0					sf														
6	6	20	20	2.0	0	0	Chord	2/2	3	1	1/2	r16	1/2	1	111															
6	6	22	22	0.0	1/2	1/2	Spanner	2/2	3	1	0																2			
6	6	22	22	0.5	1/2	1/2	Chord	2/2	3	1	1/8	r8	1/8	1	112												2			
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8	r8	1/8	1	113												2			
6	6	23	23	0.5	3/4	3/4	Chord	2/2	3	1	1/8	r8	1/8	1	114												2			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8	r8	1/8	1	115												2			
6	6	20	20	0.0	0	0	Dynamic	2/2	4	1	0					sf														
6	6	20	20	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	116															
6	6	22	22	0.0	1/2	1/2	Spanner	2/2	4	1	0																3			
6	6	22	22	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	117												3			
7	7	24	24	0.0	0	0	Dynamic	2/2	1	1	0					sf														
7	7	24	24	0.0	0	0	Spanner	2/2	1	1	0																			
7	7	24	24	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	118															
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	119															
7	7	25	25	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	120															
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	121															
7	7	26	26	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	122															
7	7	53/2	53/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	123															
7	7	27	27	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	124															
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	125															
7	7	24	24	0.0	0	0	Dynamic	2/2	2	1	0					sf														
7	7	24	24	0.0	0	0	Spanner	2/2	2	1	0																			
7	7	24	24	2.0	0	0	Chord	2/2	2	1	1/2	r16	1/2	1	126															
7	7	26	26	0.5	1/2	1/2	Chord	2/2	2	1	1/8	r8	1/8	1	127															
7	7	53/2	53/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	r8	1/8	1	128															
7	7	27	27	0.5	3/4	3/4	Chord	2/2	2	1	1/8	r8	1/8	1	129															
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	r8	1/8	1	130															
7	7	24	24	0.0	0	0	Dynamic	2/2	3	1	0					sf														
7	7	24	24	0.0	0	0	Spanner	2/2	3	1	0																			
7	7	24	24	2.0	0	0	Chord	2/2	3	1	1/2	r16	1/2	1	131															
7	7	26	26	0.5	1/2	1/2	Chord	2/2	3	1	1/8	r8	1/8	1	132															
7	7	53/2	53/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8	r8	1/8	1	133															
7	7	27	27	0.5	3/4	3/4	Chord	2/2	3	1	1/8	r8	1/8	1	134															
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8	r8	1/8	1	135															
7	7	24	24	0.0	0	0	Dynamic	2/2	4	1	0					sf														
7	7	24	24	0.0	0	0	Spanner	2/2	4	1	0																			
7	7	24	24	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	136															
7	7	26	26	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	137															
8	8	28	28	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	138															
8	8	57/2	57/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	139															
8	8	29	29	0.0	1/4	1/4	Spanner	2/2	1	1	0																4			
8	8	29	29	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	140												4			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	141												4			
8	8	30	30	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	142												4			
8	8	61/2	61/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	143												4			
8	8	31	31	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	144												4			
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	145												4			
8	8	28	28	2.0	0	0	Chord	2/2	2	1	1/2	r16	1/2	1	146															
8	8	29	29	0.0	1/4	1/4	Spanner	2/2	2	1	0																5			
8	8	30	30	2.0	1/2	1/2	Chord	2/2	2	1	1/2	r16	1/2	1	147												5			
8	8	28	28	0.5	0	0	Chord	2/2	3	1	1/8	r8	1/8	1	148															
8	8	57/2	57/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8	r8	1/8	1	149															
8	8	29	29	0.0	1/4	1/4	Spanner	2/2	3	1	0																6			
8	8	29	29	0.5	1/4	1/4	Chord	2/2	3	1	1/8	r8	1/8	1	150												6			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8	r8	1/8	1	151												6			
8	8	30	30	0.5	1/2	1/2	Chord	2/2	3	1	1/8	r8	1/8	1	152												6			
8	8	61/2	61/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8	r8	1/8	1	153												6			
8	8	31	31	0.5	3/4	3/4	Chord	2/2	3	1	1/8	r8	1/8	1	154												6			
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8	r8	1/8	1	155												6			
8	8	28	28	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	156															
8	8	29	29	0.0	1/4	1/4	Spanner	2/2	4	1	0																7			
8	8	30	30	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	157												7			
9	9	32	32	0.0	0	0	Dynamic	2/2	1	1	0					ff														
9	9	32	32	0.0	0	0	Spanner	2/2	1	1	0																			
9	9	32	32	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	158															
9	9	34	34	0.0	1/2	1/2	Dynamic	2/2	1	1	0					sf														
9	9	34	34	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	159															
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	160															
9	9	32	32	0.0	0	0	Dynamic	2/2	2	1	0					ff														
9	9	32	32	0.0	0	0	Spanner	2/2	2	1	0																			
9	9	32	32	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	161															
9	9	32	32	0.0	0	0	Dynamic	2/2	3	1	0					ff														
9	9	32	32	0.0	0	0	Spanner	2/2	3	1	0																			
9	9	32	32	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	162															
9	9	32	32	0.0	0	0	Dynamic	2/2	4	1	0					ff														
9	9	32	32	0.0	0	0	Spanner	2/2	4	1	0																			
9	9	32	32	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	163															
10	10	36	36	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	164															
10	10	38	38	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	165									0						
10	10	77/2	77/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	166															
10	10	39	39	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	167		articStaccatoAbove													
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	168		articStaccatoAbove													
10	10	38	38	0.0	1/2	1/2	Dynamic	2/2	2	1	0					sf														
10	10	38	38	1.5	1/2	1/2	Chord	2/2	2	1	3/8		1/4	3/2	169															
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	170															
10	10	38	38	0.0	1/2	1/2	Dynamic	2/2	3	1	0					sf														
10	10	38	38	1.5	1/2	1/2	Chord	2/2	3	1	3/8		1/4	3/2	171															
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	172															
11	11	40	40	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	173															
11	11	42	42	0.0	1/2	1/2	Dynamic	2/2	1	1	0					sf														
11	11	42	42	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	174															
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	175															
11	11	40	40	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	176															
11	11	42	42	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	177									1						
11	11	85/2	85/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	178															
11	11	43	43	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	179		articStaccatoAbove													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	180		articStaccatoAbove													
11	11	40	40	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	181															
11	11	42	42	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	182									2						
11	11	85/2	85/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	183															
11	11	43	43	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	184		articStaccatoAbove													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	185		articStaccatoAbove													
12	12	44	44	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	186															
12	12	46	46	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	187									3						
12	12	93/2	93/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	188															
12	12	47	47	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	189		articStaccatoBelow													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	190		articStaccatoBelow													
12	12	44	44	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	191															
12	12	44	44	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	192															
12	12	46	46	0.0	1/2	1/2	Dynamic	2/2	4	1	0					sf														
12	12	46	46	1.5	1/2	1/2	Chord	2/2	4	1	3/8		1/4	3/2	193															
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	194															
13	13	48	48	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	195															
13	13	48	48	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	196															
13	13	50	50	0.5	1/2	1/2	Chord	2/2	4	1	1/8		1/8	1	197									4						
13	13	101/2	101/2	0.5	5/8	5/8	Chord	2/2	4	1	1/8		1/8	1	198															
13	13	51	51	0.5	3/4	3/4	Chord	2/2	4	1	1/8		1/8	1	199		articStaccatoBelow													
13	13	103/2	103/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	200		articStaccatoBelow													
14	14	52	52	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	201		articAccentBelow													
14	14	53	53	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	202		articAccentBelow													
14	14	54	54	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	203		articAccentBelow													
14	14	55	55	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	204		articAccentBelow													
15	15	58	58	0.0	1/2	1/2	Dynamic	2/2	3	1	0					fp														
15	15	58	58	2.0	1/2	1/2	Chord	2/2	3	1	1/2	r16	1/2	1	205															
15	15	56	56	0.0	0	0	Dynamic	2/2	4	1	0					fp														
15	15	56	56	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	206															
15	15	58	58	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	207															
16	16	60	60	0.0	0	0	Dynamic	2/2	1	1	0					p														
16	16	60	60	0.0	0	0	Spanner	2/2	1	1	0														8					
16	16	60	60	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	208										8					
16	16	121/2	121/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	209										8					
16	16	61	61	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	210										8					
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	211										8					
16	16	62	62	0.0	1/2	1/2	Spanner	2/2	1	1	0																			
16	16	62	62	0.0	1/2	1/2	Spanner	2/2	1	1	0																	8		
16	16	62	62	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	212													8		
16	16	125/2	125/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	213													8		
16	16	63	63	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	214													8		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	215													8		
16	16	60	60	0.0	0	0	Dynamic	2/2	2	1	0					p														
16	16	60	60	0.0	0	0	Spanner	2/2	2	1	0														9					
