mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	43											
2	2	8	8	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	44											
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	45											
2	2	9	9	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	46									3		
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	47									3		
2	2	10	10	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	48											
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	49											
2	2	11	11	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	50											
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	51											
3	3	12	12	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	52									4		
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	53									4		
3	3	13	13	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	54											
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	55											
3	3	14	14	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	56											
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	57											
3	3	15	15	0.5	3/4	3/4	Chord	12/8	1	1	1/8			1/8	1	58									5		
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8			1/8	1	59									5		
3	3	16	16	0.5	1	1	Chord	12/8	1	1	1/8			1/8	1	60											
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8			1/8	1	61											
3	3	17	17	0.5	5/4	5/4	Chord	12/8	1	1	1/8			1/8	1	62											
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	63											
3	3	12	12	0.5	0	0	Chord	12/8	2	1	1/8			1/8	1	64									6		
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8			1/8	1	65									6		
3	3	13	13	0.5	1/4	1/4	Chord	12/8	2	1	1/8			1/8	1	66											
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8			1/8	1	67											
3	3	14	14	0.5	1/2	1/2	Chord	12/8	2	1	1/8			1/8	1	68											
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	69											
3	3	15	15	0.5	3/4	3/4	Chord	12/8	2	1	1/8			1/8	1	70									7		
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8			1/8	1	71									7		
3	3	16	16	0.5	1	1	Chord	12/8	2	1	1/8			1/8	1	72											
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	73											
3	3	17	17	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	74											
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	75											
3	3	12	12	0.5	0	0	Chord	12/8	3	1	1/8			1/8	1	76									8		
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8			1/8	1	77									8		
3	3	13	13	0.5	1/4	1/4	Chord	12/8	3	1	1/8			1/8	1	78											
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	79											
3	3	14	14	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	80											
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	81											
3	3	15	15	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	82									9		
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	83									9		
3	3	16	16	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	84											
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	85											
3	3	17	17	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	86											
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	87											
3	3	12	12	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	88									10		
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	89									10		
3	3	13	13	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	90											
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	91											
3	3	14	14	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	92											
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	93											
3	3	15	15	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	94									11		
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	95									11		
3	3	16	16	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	96											
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	97											
3	3	17	17	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	98											
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	99											
4	4	18	18	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	100									12		
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	101									12		
4	4	19	19	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	102											
4	4	21	21	0.0	3/4	3/4	Dynamic	12/8	1	1	0						sf										
4	4	21	21	1.5	3/4	3/4	Chord	12/8	1	1	3/8			1/4	3/2	103									13		
4	4	45/2	45/2	0.0	9/8	9/8	Chord	12/8	1	1	0	acciaccatura		1/8	1	104											
4	4	45/2	45/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4			1/4	1	105											
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	106											
4	4	18	18	0.5	0	0	Chord	12/8	2	1	1/8			1/8	1	107									14		
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8			1/8	1	108									14		
4	4	19	19	0.5	1/4	1/4	Chord	12/8	2	1	1/8			1/8	1	109											
4	4	21	21	0.0	3/4	3/4	Dynamic	12/8	2	1	0						sf										
4	4	21	21	1.5	3/4	3/4	Chord	12/8	2	1	3/8			1/4	3/2	110									15		
4	4	45/2	45/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4			1/4	1	111											
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	112											
4	4	18	18	1.0	0	0	Chord	12/8	3	1	1/4			1/4	1	113											
4	4	39/2	39/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	114											
4	4	20	20	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	115											
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	116											
4	4	21	21	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	117									16		
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	118									16		
4	4	22	22	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	119											
4	4	45/2	45/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	120									17		
4	4	23	23	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	121									17		
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	122											
4	4	18	18	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	123									18		
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	124									18		
4	4	19	19	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	125											
4	4	39/2	39/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	126											
4	4	20	20	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	127											
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	128											
4	4	21	21	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	129									19		
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	130									19		
4	4	22	22	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	131											
4	4	45/2	45/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	132									20		
4	4	23	23	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	133									20		
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	134											
5	5	24	24	0.0	0	0	Dynamic	12/8	1	1	0						sf										
5	5	24	24	1.5	0	0	Chord	12/8	1	1	3/8			1/4	3/2	135									21		
5	5	51/2	51/2	0.0	3/8	3/8	Chord	12/8	1	1	0	appoggiatura		1/8	1	136											
5	5	51/2	51/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4			1/4	1	137											
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	138											
5	5	27	27	1.0	3/4	3/4	Chord	12/8	1	1	1/4			1/4	1	139											
5	5	57/2	57/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4			1/4	1	140											
5	5	24	24	0.0	0	0	Dynamic	12/8	2	1	0						sf										
5	5	24	24	1.5	0	0	Chord	12/8	2	1	3/8			1/4	3/2	141									22		
5	5	51/2	51/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4			1/4	1	142											
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	143											
5	5	27	27	1.0	3/4	3/4	Chord	12/8	2	1	1/4			1/4	1	144											
5	5	57/2	57/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4			1/4	1	145											
5	5	24	24	0.5	0	0	Chord	12/8	3	1	1/8			1/8	1	146									23		
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8			1/8	1	147									23		
5	5	25	25	0.5	1/4	1/4	Chord	12/8	3	1	1/8			1/8	1	148											
5	5	51/2	51/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	149									24		
5	5	26	26	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	150									24		
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	151											
5	5	27	27	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	152									25		
5	5	55/2	55/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	153									25		
5	5	28	28	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	154											
5	5	57/2	57/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	155											
5	5	29	29	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	156											
5	5	59/2	59/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	157											
5	5	24	24	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	158									26		
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	159									26		
5	5	25	25	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	160											
5	5	51/2	51/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	161									27		
5	5	26	26	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	162									27		
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	163											
5	5	27	27	1.0	3/4	3/4	Chord	12/8	4	1	1/4			1/4	1	164											
5	5	57/2	57/2	1.0	9/8	9/8	Chord	12/8	4	1	1/4			1/4	1	165											
6	6	30	30	1.0	0	0	Chord	12/8	1	1	1/4			1/4	1	166											
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	167											
6	6	32	32	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	168											
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	169											
6	6	33	33	0.5	3/4	3/4	Chord	12/8	1	1	1/8			1/8	1	170									28		
6	6	67/2	67/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8			1/8	1	171									28		
6	6	34	34	0.5	1	1	Chord	12/8	1	1	1/8			1/8	1	172											
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8			1/8	1	173											
6	6	35	35	0.5	5/4	5/4	Chord	12/8	1	1	1/8			1/8	1	174											
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	175											
6	6	30	30	1.0	0	0	Chord	12/8	2	1	1/4			1/4	1	176											
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8			1/8	1	177											
6	6	32	32	0.5	1/2	1/2	Chord	12/8	2	1	1/8			1/8	1	178											
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	179											
6	6	33	33	0.5	3/4	3/4	Chord	12/8	2	1	1/8			1/8	1	180									29		
6	6	67/2	67/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8			1/8	1	181									29		
6	6	34	34	0.5	1	1	Chord	12/8	2	1	1/8			1/8	1	182											
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	183											
6	6	35	35	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	184											
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	185											
6	6	30	30	1.0	0	0	Chord	12/8	3	1	1/4			1/4	1	186											
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	187											
6	6	32	32	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	188											
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	189											
6	6	33	33	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	190									30		
6	6	67/2	67/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	191									30		
6	6	34	34	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	192											
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	193											
6	6	35	35	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	194											
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	195											
6	6	30	30	1.0	0	0	Chord	12/8	4	1	1/4			1/4	1	196											
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	197											
6	6	32	32	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	198											
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	199											
6	6	33	33	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	200									31		
6	6	67/2	67/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	201									31		
6	6	34	34	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	202											
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	203											
6	6	35	35	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	204											
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	205											
7	7	36	36	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	206									32		
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	207									32		
7	7	37	37	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	208											
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	209											
7	7	38	38	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	210											
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	211											
7	7	39	39	0.5	3/4	3/4	Chord	12/8	1	1	1/8			1/8	1	212									33		
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8			1/8	1	213									33		
7	7	40	40	0.5	1	1	Chord	12/8	1	1	1/8			1/8	1	214											
7	7	81/2	81/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8			1/8	1	215											
7	7	41	41	0.5	5/4	5/4	Chord	12/8	1	1	1/8			1/8	1	216											
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	217											
7	7	36	36	0.5	0	0	Chord	12/8	2	1	1/8			1/8	1	218									34		
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8			1/8	1	219									34		
7	7	37	37	0.5	1/4	1/4	Chord	12/8	2	1	1/8			1/8	1	220											
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8			1/8	1	221											
7	7	38	38	0.5	1/2	1/2	Chord	12/8	2	1	1/8			1/8	1	222											
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	223											
7	7	39	39	0.5	3/4	3/4	Chord	12/8	2	1	1/8			1/8	1	224									35		
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8			1/8	1	225									35		
7	7	40	40	0.5	1	1	Chord	12/8	2	1	1/8			1/8	1	226											
7	7	81/2	81/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	227											
7	7	41	41	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	228											
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	229											
7	7	36	36	0.5	0	0	Chord	12/8	3	1	1/8			1/8	1	230									36		
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8			1/8	1	231									36		
7	7	37	37	0.5	1/4	1/4	Chord	12/8	3	1	1/8			1/8	1	232											
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	233											
7	7	38	38	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	234											
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	235											
7	7	39	39	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	236									37		
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	237									37		
7	7	40	40	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	238											
7	7	81/2	81/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	239											
7	7	41	41	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	240											
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	241											
7	7	36	36	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	242									38		
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	243									38		
7	7	37	37	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	244											
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	4	1	1/8			1/8	1	245											
7	7	38	38	0.5	1/2	1/2	Chord	12/8	4	1	1/8			1/8	1	246											
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	4	1	1/8			1/8	1	247											
7	7	39	39	0.5	3/4	3/4	Chord	12/8	4	1	1/8			1/8	1	248									39		
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	4	1	1/8			1/8	1	249									39		
7	7	40	40	0.5	1	1	Chord	12/8	4	1	1/8			1/8	1	250											
7	7	81/2	81/2	0.5	9/8	9/8	Chord	12/8	4	1	1/8			1/8	1	251											
7	7	41	41	0.5	5/4	5/4	Chord	12/8	4	1	1/8			1/8	1	252											
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	4	1	1/8			1/8	1	253											
8	8	42	42	0.5	0	0	Chord	12/8	1	1	1/8			1/8	1	254									40		
8	8	85/2	85/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8			1/8	1	255									40		
8	8	43	43	0.5	1/4	1/4	Chord	12/8	1	1	1/8			1/8	1	256											
8	8	45	45	0.0	3/4	3/4	Dynamic	12/8	1	1	0						sf										
8	8	45	45	1.5	3/4	3/4	Chord	12/8	1	1	3/8			1/4	3/2	257									41		
8	8	93/2	93/2	0.0	9/8	9/8	Chord	12/8	1	1	0	acciaccatura		1/8	1	258											
8	8	93/2	93/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4			1/4	1	259											
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	260											
8	8	42	42	0.5	0	0	Chord	12/8	2	1	1/8			1/8	1	261									42		
8	8	85/2	85/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8			1/8	1	262									42		
8	8	43	43	0.5	1/4	1/4	Chord	12/8	2	1	1/8			1/8	1	263											
8	8	45	45	0.0	3/4	3/4	Dynamic	12/8	2	1	0						sf										
8	8	45	45	1.5	3/4	3/4	Chord	12/8	2	1	3/8			1/4	3/2	264									43		
8	8	93/2	93/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4			1/4	1	265											
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	266											
8	8	42	42	1.0	0	0	Chord	12/8	3	1	1/4			1/4	1	267											
8	8	87/2	87/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	268											
8	8	44	44	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	269											
8	8	89/2	89/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	270											
8	8	45	45	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	271									44		
8	8	91/2	91/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	272									44		
8	8	46	46	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	273											
8	8	93/2	93/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	274									45		
8	8	47	47	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	275									45		
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	276											
8	8	42	42	0.5	0	0	Chord	12/8	4	1	1/8			1/8	1	277									46		
8	8	85/2	85/2	0.5	1/8	1/8	Chord	12/8	4	1	1/8			1/8	1	278									46		
8	8	43	43	0.5	1/4	1/4	Chord	12/8	4	1	1/8			1/8	1	279											
