mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin
8	7	103/4	103/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	95												
8	7	26	26	0.75	1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	96		articStaccatoAbove										
8	7	107/4	107/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	97												
8	7	27	27	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	98		articStaccatoAbove										
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	99												
8	7	28	28	0.75	3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	100		articStaccatoAbove										
8	7	115/4	115/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	101												
8	7	25	25	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	102		articStaccatoAbove										
8	7	103/4	103/4	0.0	3/16	3/16	StaffText	4/4	3	1	0								cresc.									
8	7	103/4	103/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	103												
8	7	26	26	0.75	1/4	1/4	Chord	4/4	3	1	3/16			1/8	3/2	104		articStaccatoAbove										
8	7	107/4	107/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16			1/16	1	105												
8	7	27	27	0.75	1/2	1/2	Chord	4/4	3	1	3/16			1/8	3/2	106		articStaccatoAbove										
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16			1/16	1	107												
8	7	28	28	0.75	3/4	3/4	Chord	4/4	3	1	3/16			1/8	3/2	108		articStaccatoAbove										
8	7	115/4	115/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16			1/16	1	109												
8	7	25	25	0.75	0	0	Chord	4/4	4	1	3/16			1/8	3/2	110		articStaccatoAbove										
8	7	103/4	103/4	0.0	3/16	3/16	StaffText	4/4	4	1	0								cresc.									
8	7	103/4	103/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16			1/16	1	111												
8	7	26	26	0.75	1/4	1/4	Chord	4/4	4	1	3/16			1/8	3/2	112		articStaccatoAbove										
8	7	107/4	107/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16			1/16	1	113												
8	7	27	27	0.75	1/2	1/2	Chord	4/4	4	1	3/16			1/8	3/2	114		articStaccatoAbove										
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16			1/16	1	115												
8	7	28	28	0.75	3/4	3/4	Chord	4/4	4	1	3/16			1/8	3/2	116		articStaccatoAbove										
8	7	115/4	115/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16			1/16	1	117												
9	8	29	29	0.0	0	0	Dynamic	4/4	1	1	0						sf											
9	8	29	29	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	118		articStaccatoAbove										
9	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	119												
9	8	30	30	0.0	1/4	1/4	Dynamic	4/4	1	1	0						ff											
9	8	30	30	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	120												
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	121		articStaccatoAbove										
9	8	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	122		articStaccatoAbove										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	123		articStaccatoAbove										
9	8	29	29	0.0	0	0	Dynamic	4/4	2	1	0						sf											
9	8	29	29	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	124		articStaccatoAbove										
9	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	125												
9	8	30	30	0.0	1/4	1/4	Dynamic	4/4	2	1	0						ff											
9	8	30	30	1.5	1/4	1/4	Chord	4/4	2	1	3/8			1/4	3/2	126												
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	127		articStaccatoAbove										
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	128		articStaccatoAbove										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	129		articStaccatoAbove										
9	8	29	29	0.0	0	0	Dynamic	4/4	3	1	0						sf											
9	8	29	29	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	130		articStaccatoAbove										
9	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	131												
9	8	30	30	0.0	1/4	1/4	Dynamic	4/4	3	1	0						ff											
9	8	30	30	1.5	1/4	1/4	Chord	4/4	3	1	3/8			1/4	3/2	132												
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	133		articStaccatoAbove										
9	8	32	32	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	134		articStaccatoAbove										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	135		articStaccatoAbove										
9	8	29	29	0.0	0	0	Dynamic	4/4	4	1	0						sf											
9	8	29	29	0.75	0	0	Chord	4/4	4	1	3/16			1/8	3/2	136		articStaccatoAbove										
9	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16			1/16	1	137												
9	8	30	30	0.0	1/4	1/4	Dynamic	4/4	4	1	0						ff											
9	8	30	30	1.5	1/4	1/4	Chord	4/4	4	1	3/8			1/4	3/2	138												
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	139		articStaccatoAbove										
9	8	32	32	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	140		articStaccatoAbove										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	141		articStaccatoAbove										
10	9	33	33	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	142		articStaccatoBelow										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	143		articStaccatoBelow										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	144		articStaccatoBelow										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	145		articStaccatoBelow										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	146		articStaccatoBelow										
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	147		articStaccatoBelow										
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	148		articStaccatoBelow										
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	149		articStaccatoBelow										
10	9	33	33	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	150		articStaccatoBelow										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	151		articStaccatoBelow										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	152		articStaccatoBelow										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	153		articStaccatoBelow										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	154		articStaccatoBelow										
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	155		articStaccatoBelow										
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	156		articStaccatoBelow										
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	157		articStaccatoBelow										
10	9	33	33	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	158		articStaccatoBelow										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	159		articStaccatoBelow										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	160		articStaccatoBelow										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	161		articStaccatoBelow										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	162		articStaccatoBelow										
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	163		articStaccatoBelow										
10	9	36	36	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	164		articStaccatoBelow										
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	165		articStaccatoBelow										
10	9	33	33	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	166		articStaccatoAbove										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	167		articStaccatoAbove										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	168		articStaccatoAbove										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	169		articStaccatoAbove										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	170		articStaccatoBelow										
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	171		articStaccatoBelow										
10	9	36	36	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	172		articStaccatoBelow										
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	173		articStaccatoBelow										
11	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	174		articStaccatoBelow										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	175		articStaccatoBelow										
11	10	40	40	0.0	3/4	3/4	Dynamic	4/4	1	1	0						f											
11	10	40	40	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	176									19			
11	10	161/4	161/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	177									19			
11	10	81/2	81/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	178									19			
11	10	163/4	163/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	179									19			
11	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	180		articStaccatoBelow										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	181		articStaccatoBelow										
11	10	37	37	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	182		articStaccatoBelow										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	183		articStaccatoBelow										
11	10	37	37	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	184		articStaccatoBelow										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	185		articStaccatoBelow										
12	11	41	41	0.0	0	0	Dynamic	4/4	1	1	0						sf											
12	11	41	41	4.0	0	0	Chord	4/4	1	1	1			1	1	186												
12	11	42	42	0.0	1/4	1/4	Dynamic	4/4	2	1	0						f											
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	187									20			
12	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	188									20			
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	189									20			
12	11	42	42	0.0	1/4	1/4	Dynamic	4/4	3	1	0						f											
12	11	42	42	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	190									21			
12	11	43	43	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	191									21			
12	11	44	44	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	192									21			
12	11	42	42	0.0	1/4	1/4	Dynamic	4/4	4	1	0						f											
12	11	42	42	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	193									22			
12	11	43	43	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	194									22			
12	11	44	44	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	195									22			
13	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	196												
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	197									23			
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	198												
13	12	48	48	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	199									24			
13	12	193/4	193/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	200									24			
13	12	97/2	97/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	201									24			
13	12	195/4	195/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	202									24			
13	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	203												
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	204									25			
13	12	47	47	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	205												
13	12	45	45	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	206												
13	12	46	46	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	207									26			
13	12	47	47	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	208												
13	12	45	45	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	209												
13	12	46	46	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	210									27			
13	12	47	47	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	211												
14	13	49	49	0.0	0	0	Dynamic	4/4	1	1	0						sf											
14	13	49	49	4.0	0	0	Chord	4/4	1	1	1			1	1	212												
14	13	50	50	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	213									28			
14	13	51	51	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	214									28			
14	13	52	52	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	215									28			
14	13	50	50	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	216									29			
14	13	51	51	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	217									29			
14	13	52	52	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	218									29			
14	13	50	50	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	219									30			
14	13	51	51	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	220									30			
14	13	52	52	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	221									30			
15	14	53	53	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	222												
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	223									31			
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	224												
15	14	56	56	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	225									32			
15	14	225/4	225/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	226									32			
15	14	113/2	113/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	227									32			
15	14	227/4	227/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	228									32			
15	14	53	53	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	229												
15	14	54	54	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	230									33			
15	14	55	55	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	231												
15	14	53	53	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	232												
15	14	54	54	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	233									34			
15	14	55	55	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	234												
15	14	53	53	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	235												
15	14	54	54	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	236									35			
15	14	55	55	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	237												
16	15	57	57	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	238		articAccentStaccatoBelow										
16	15	231/4	231/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	239												
16	15	58	58	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	240		articStaccatoBelow										
16	15	60	60	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	241									36			
16	15	241/4	241/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	242									36			
16	15	121/2	121/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	243									36			
16	15	243/4	243/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	244									36			
16	15	58	58	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	245									37			
16	15	233/4	233/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	246									37			
16	15	117/2	117/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	247									37			
16	15	235/4	235/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	248									37			
16	15	59	59	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	249		articAccentStaccatoBelow										
16	15	239/4	239/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	250												
16	15	60	60	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	251		articStaccatoBelow										
